date,commune,lat,lon,precipitation,temperature_mean,humidity_mean,pressure_mean,temperature,humidity,pressure,soil_moisture,elevation,slope,distance_to_river,in_flood_plain,depression_depth,drainage_density,drainage_state,drainage_coverage,blocked_drainage_pct,impermeable_surface,building_density,population_density,groundwater_level,runoff_coefficient,infiltration_rate,soil_permeability,vegetation_cover,ndvi_avg,informal_settlement_pct,poverty_index,flood_preparedness,antecedent_precip_3d,antecedent_precip_7d,antecedent_precip_14d,soil_saturation_index,flood_occurred,flood_severity
2022-01-12,Commune I,12.6563,-7.9928,0.0,25.8,36.0,1011.5,25.8,36.0,1011.5,0.22671351232148715,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-13,Commune I,12.6563,-7.9928,0.0,27.4,32.0,1012.0,27.4,32.0,1012.0,0.2620981135783017,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-14,Commune I,12.6563,-7.9928,0.0,28.3,41.0,1012.8,28.3,41.0,1012.8,0.1543359877671101,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-15,Commune I,12.6563,-7.9928,0.0,26.9,35.0,1012.9,26.9,35.0,1012.9,0.16375410837434834,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-16,Commune I,12.6563,-7.9928,0.0,26.4,42.0,1013.9,26.4,42.0,1013.9,0.22188562353795135,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-17,Commune I,12.6563,-7.9928,0.0,25.3,27.0,1014.6,25.3,27.0,1014.6,0.19935844398327882,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-18,Commune I,12.6563,-7.9928,0.0,25.8,30.0,1014.4,25.8,30.0,1014.4,0.2657123666297637,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-19,Commune I,12.6563,-7.9928,0.0,25.2,27.0,1014.1,25.2,27.0,1014.1,0.20459879622393945,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-20,Commune I,12.6563,-7.9928,0.0,25.1,28.0,1013.7,25.1,28.0,1013.7,0.17938481493323544,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-21,Commune I,12.6563,-7.9928,0.0,25.8,26.0,1012.8,25.8,26.0,1012.8,0.32328243844607774,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-22,Commune I,12.6563,-7.9928,0.0,25.8,29.0,1013.1,25.8,29.0,1013.1,0.23871118497567323,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-23,Commune I,12.6563,-7.9928,0.0,25.5,28.0,1013.0,25.5,28.0,1013.0,0.25337641023439617,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-24,Commune I,12.6563,-7.9928,0.0,26.1,26.0,1012.4,26.1,26.0,1012.4,0.17876259068932715,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-25,Commune I,12.6563,-7.9928,0.0,26.4,24.0,1011.9,26.4,24.0,1011.9,0.22278086377374087,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-26,Commune I,12.6563,-7.9928,0.0,24.0,37.0,1010.9,24.0,37.0,1010.9,0.2555461294854933,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-27,Commune I,12.6563,-7.9928,0.0,22.8,43.0,1010.2,22.8,43.0,1010.2,0.19245032112888485,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-28,Commune I,12.6563,-7.9928,0.0,27.2,41.0,1008.9,27.2,41.0,1008.9,0.2687849009172836,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-29,Commune I,12.6563,-7.9928,0.0,26.9,35.0,1011.2,26.9,35.0,1011.2,0.21996806550405976,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-30,Commune I,12.6563,-7.9928,0.0,27.6,26.0,1011.3,27.6,26.0,1011.3,0.23541531251033615,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-01-31,Commune I,12.6563,-7.9928,0.0,27.9,25.0,1011.3,27.9,25.0,1011.3,0.21991466938853016,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-01,Commune I,12.6563,-7.9928,0.0,27.7,27.0,1011.4,27.7,27.0,1011.4,0.3426139092254469,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-02,Commune I,12.6563,-7.9928,0.0,26.7,23.0,1012.6,26.7,23.0,1012.6,0.2493251387631033,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-03,Commune I,12.6563,-7.9928,0.0,25.4,23.0,1012.3,25.4,23.0,1012.3,0.19711445355220497,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-04,Commune I,12.6563,-7.9928,0.0,26.4,43.0,1011.6,26.4,43.0,1011.6,0.29112724560515946,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-05,Commune I,12.6563,-7.9928,0.0,27.7,24.0,1010.1,27.7,24.0,1010.1,0.18895781750144888,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-06,Commune I,12.6563,-7.9928,0.0,25.8,29.0,1010.5,25.8,29.0,1010.5,0.2604431797502378,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-07,Commune I,12.6563,-7.9928,0.0,26.6,22.0,1010.5,26.6,22.0,1010.5,0.15201649380601123,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-08,Commune I,12.6563,-7.9928,0.0,27.0,25.0,1010.6,27.0,25.0,1010.6,0.18359069755507845,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-09,Commune I,12.6563,-7.9928,0.0,28.9,14.0,1010.9,28.9,14.0,1010.9,0.2598430617934562,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-10,Commune I,12.6563,-7.9928,0.0,29.0,24.0,1010.4,29.0,24.0,1010.4,0.2869233289997705,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-11,Commune I,12.6563,-7.9928,0.0,27.7,22.0,1010.2,27.7,22.0,1010.2,0.25856841405949854,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-12,Commune I,12.6563,-7.9928,0.0,24.6,26.0,1010.9,24.6,26.0,1010.9,0.24421758588058798,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-13,Commune I,12.6563,-7.9928,0.0,25.7,21.0,1010.9,25.7,21.0,1010.9,0.23494481522053556,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-14,Commune I,12.6563,-7.9928,0.0,26.4,20.0,1011.2,26.4,20.0,1011.2,0.17607390048162863,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-15,Commune I,12.6563,-7.9928,0.0,26.7,17.0,1011.9,26.7,17.0,1011.9,0.21400778958026456,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-16,Commune I,12.6563,-7.9928,0.0,27.0,18.0,1010.9,27.0,18.0,1010.9,0.22696806145201062,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-17,Commune I,12.6563,-7.9928,0.0,27.2,24.0,1009.5,27.2,24.0,1009.5,0.3028561113109458,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-18,Commune I,12.6563,-7.9928,0.0,27.7,32.0,1008.9,27.7,32.0,1008.9,0.26718091447842307,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-19,Commune I,12.6563,-7.9928,0.0,29.4,22.0,1009.3,29.4,22.0,1009.3,0.1618479922318633,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-20,Commune I,12.6563,-7.9928,0.0,29.7,18.0,1008.7,29.7,18.0,1008.7,0.26620419846973975,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-21,Commune I,12.6563,-7.9928,0.0,30.8,28.0,1008.4,30.8,28.0,1008.4,0.23074588597918416,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-22,Commune I,12.6563,-7.9928,0.0,30.0,38.0,1009.2,30.0,38.0,1009.2,0.21615389998470205,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-23,Commune I,12.6563,-7.9928,0.0,31.0,17.0,1008.9,31.0,17.0,1008.9,0.2805838144420434,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-24,Commune I,12.6563,-7.9928,0.0,29.4,27.0,1008.5,29.4,27.0,1008.5,0.30154997612479756,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-25,Commune I,12.6563,-7.9928,0.0,28.8,34.0,1008.1,28.8,34.0,1008.1,0.29656400595580995,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-26,Commune I,12.6563,-7.9928,0.0,30.5,25.0,1006.6,30.5,25.0,1006.6,0.20803912383886808,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-27,Commune I,12.6563,-7.9928,0.0,30.2,28.0,1005.8,30.2,28.0,1005.8,0.23453938120743928,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-02-28,Commune I,12.6563,-7.9928,0.0,30.8,39.0,1006.7,30.8,39.0,1006.7,0.26656317157017817,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-01,Commune I,12.6563,-7.9928,0.0,30.8,35.0,1008.4,30.8,35.0,1008.4,0.29877725635611796,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-02,Commune I,12.6563,-7.9928,0.0,30.4,34.0,1008.5,30.4,34.0,1008.5,0.2260412881077355,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-03,Commune I,12.6563,-7.9928,0.0,30.2,28.0,1008.7,30.2,28.0,1008.7,0.24071705116680914,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-04,Commune I,12.6563,-7.9928,0.0,29.0,25.0,1008.9,29.0,25.0,1008.9,0.1946832512996986,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-05,Commune I,12.6563,-7.9928,0.0,29.0,26.0,1008.1,29.0,26.0,1008.1,0.19018966879596647,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-06,Commune I,12.6563,-7.9928,0.0,29.3,17.0,1007.5,29.3,17.0,1007.5,0.2906262911197099,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-07,Commune I,12.6563,-7.9928,0.0,29.5,17.0,1007.8,29.5,17.0,1007.8,0.31781200142854116,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-08,Commune I,12.6563,-7.9928,0.0,29.5,16.0,1007.7,29.5,16.0,1007.7,0.24639949392098331,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-09,Commune I,12.6563,-7.9928,0.0,30.4,13.0,1007.0,30.4,13.0,1007.0,0.3001766448946012,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-10,Commune I,12.6563,-7.9928,0.0,30.4,21.0,1006.5,30.4,21.0,1006.5,0.2680818012523817,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-11,Commune I,12.6563,-7.9928,0.0,31.4,15.0,1007.0,31.4,15.0,1007.0,0.21774401226974377,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-12,Commune I,12.6563,-7.9928,0.0,32.3,17.0,1007.5,32.3,17.0,1007.5,0.2680697802754207,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-13,Commune I,12.6563,-7.9928,0.0,30.7,23.0,1007.1,30.7,23.0,1007.1,0.32690182832329845,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-14,Commune I,12.6563,-7.9928,0.0,30.6,29.0,1006.4,30.6,29.0,1006.4,0.24820869804450243,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-15,Commune I,12.6563,-7.9928,0.0,30.2,37.0,1007.1,30.2,37.0,1007.1,0.3282321827907003,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-16,Commune I,12.6563,-7.9928,0.0,33.1,38.0,1006.9,33.1,38.0,1006.9,0.11901274479551277,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-17,Commune I,12.6563,-7.9928,0.0,31.6,32.0,1007.7,31.6,32.0,1007.7,0.2910951252187612,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-18,Commune I,12.6563,-7.9928,0.0,31.7,33.0,1007.1,31.7,33.0,1007.1,0.25435235341190854,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-19,Commune I,12.6563,-7.9928,0.0,31.9,31.0,1006.4,31.9,31.0,1006.4,0.23504963247670663,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-20,Commune I,12.6563,-7.9928,0.0,32.0,42.0,1006.6,32.0,42.0,1006.6,0.2545880388267751,330.0,2.5,1200.0,0.0,0.5,3.2,2.0,40.0,35.0,65.0,45.0,8500.0,8.0,0.75,15.0,2.0,15.0,0.25,30.0,45.0,2.0,0.0,0.0,0.0,0.0,0,0.0
